"","3008.TW.Open","3008.TW.High","3008.TW.Low","3008.TW.Close","3008.TW.Volume","3008.TW.Adjusted"
"1",3805,3810,3780,3795,214000,3795
"2",3815,3820,3780,3780,339000,3780
"3",3840,4050,3840,4050,1602000,4050
"4",4050,4155,4025,4145,1051000,4145
"5",4175,4245,3995,4010,784000,4010
"6",3990,4135,3990,4135,513000,4135
"7",4180,4230,4170,4170,627000,4170
"8",4140,4240,4130,4240,571000,4240
"9",4240,4240,4175,4240,618000,4240
"10",4220,4250,4195,4250,313000,4250
"11",4260,4410,4260,4400,784000,4400
"12",4390,4450,4370,4445,574000,4445
"13",4410,4420,4275,4295,701000,4295
"14",4280,4390,4220,4390,717000,4390
"15",4380,4455,4335,4355,538000,4355
"16",4440,4475,4400,4450,773000,4450
"17",4450,4580,4450,4550,1105000,4550
"18",4530,4560,4450,4490,542000,4490
"19",4500,4520,4425,4505,416000,4505
"20",4520,4525,4455,4480,414000,4480
"21",4485,4530,4470,4470,385000,4470
"22",4515,4630,4500,4610,692000,4610
"23",4610,4810,4610,4740,675000,4740
"24",4730,4780,4685,4705,320000,4705
"25",4660,4770,4660,4715,495000,4715
"26",4715,4735,4695,4695,344000,4695
"27",4715,4780,4540,4560,731000,4560
"28",4585,4625,4530,4530,653000,4530
"29",NA,NA,NA,NA,NA,NA
"30",4510,4650,4480,4495,465000,4495
"31",4515,4560,4495,4560,235000,4560
"32",4640,4730,4635,4680,603000,4680
"33",4725,4800,4720,4745,458000,4745
"34",4745,4745,4560,4560,624000,4560
"35",4560,4560,4475,4475,7e+05,4475
"36",4560,4600,4450,4485,564000,4485
"37",4450,4535,4450,4465,310000,4465
"38",4530,4560,4495,4500,360000,4500
"39",4500,4535,4400,4445,382000,4445
"40",4480,4490,4410,4440,309000,4440
"41",4455,4485,4390,4485,329000,4485
"42",4470,4505,4435,4505,268000,4505
"43",4525,4660,4525,4650,529000,4650
"44",4695,4710,4615,4645,302000,4645
"45",4640,4640,4570,4590,319000,4590
"46",4640,4680,4640,4665,318000,4665
"47",4685,4760,4650,4760,287000,4760
"48",4750,4760,4710,4720,167000,4720
"49",4750,4850,4750,4810,398000,4810
"50",4725,4765,4685,4740,408000,4740
"51",4795,4800,4740,4750,161000,4750
"52",4785,4795,4730,4790,248000,4790
"53",4785,4815,4740,4795,194000,4795
"54",4800,4815,4685,4735,374000,4735
"55",4750,4750,4690,4690,345000,4690
"56",4715,4740,4690,4690,276000,4690
"57",4690,4790,4690,4780,284000,4780
"58",4780,4840,4715,4820,485000,4820
"59",4675,4705,4600,4600,866000,4600
"60",4600,4705,4540,4700,650000,4700
"61",4730,4730,4615,4615,223000,4615
"62",4585,4635,4520,4520,381000,4520
"63",4520,4540,4435,4475,564000,4475
"64",4425,4495,4385,4410,573000,4410
"65",4650,4820,4630,4800,1271000,4800
"66",4815,4815,4730,4780,346000,4780
"67",4810,4810,4765,4780,242000,4780
"68",4745,4760,4720,4720,305000,4720
"69",4720,4810,4700,4725,338000,4725
"70",4795,4885,4780,4875,653000,4875
"71",4905,4980,4845,4895,481000,4895
"72",4905,4970,4855,4970,442000,4970
"73",4970,5010,4955,5000,505000,5000
"74",4975,5015,4965,5010,176000,5010
"75",4985,5015,4985,5015,227000,5015
"76",5015,5070,5000,5000,305000,5000
"77",4975,5040,4970,5020,171000,5020
"78",5000,5030,4970,4970,246000,4970
"79",4970,5010,4935,4935,223000,4935
"80",4960,4965,4870,4935,358000,4935
"81",4950,5030,4905,4995,326000,4995
"82",4975,4990,4945,4945,165000,4945
"83",4975,5015,4940,4960,276000,4960
"84",4945,4970,4875,4885,314000,4885
"85",4900,4915,4855,4900,225000,4900
"86",4920,4925,4870,4870,254000,4870
"87",4865,4880,4795,4820,388000,4820
"88",4755,4920,4755,4855,476000,4855
"89",4855,4865,4810,4810,3e+05,4810
"90",4880,4900,4840,4900,174000,4900
"91",4890,4895,4855,4875,211000,4875
"92",4885,4895,4855,4860,228000,4860
"93",4860,4880,4800,4805,309000,4805
"94",4815,4860,4805,4835,298000,4835
"95",4835,4835,4750,4750,382000,4750
"96",4750,4800,4705,4715,375000,4715
"97",4765,4845,4760,4845,361000,4845
"98",NA,NA,NA,NA,NA,NA
"99",4850,4865,4800,4850,234000,4850
"100",4850,4850,4790,4790,222000,4790
"101",4790,4870,4765,4765,343000,4765
"102",4790,4830,4775,4775,250000,4775
"103",4800,4870,4800,4840,324000,4840
"104",4780,4820,4780,4805,144000,4805
"105",4815,4855,4790,4810,283000,4810
"106",4830,4845,4680,4695,416000,4695
"107",4720,4750,4670,4695,387000,4695
"108",4680,4750,4635,4730,376000,4730
"109",4730,4845,4730,4835,329000,4835
"110",4810,4890,4810,4845,245000,4845
"111",4850,4890,4825,4835,363000,4835
"112",4850,4890,4840,4890,217000,4890
"113",4915,4985,4915,4965,484000,4965
"114",4945,5010,4920,5000,265000,5000
"115",5020,5040,4970,4970,285000,4970
"116",4970,4980,4860,4860,434000,4860
"117",4930,4960,4885,4895,268000,4895
"118",4885,4890,4810,4850,360000,4850
"119",4840,4840,4760,4760,352000,4760
"120",4790,4815,4765,4770,255000,4770
"121",4800,4830,4770,4815,258000,4815
"122",4890,4970,4885,4970,557000,4970
"123",4915,4965,4915,4960,330000,4960
"124",4970,5095,4970,5090,627000,5090
"125",5190,5325,5160,5285,850000,5285
"126",5290,5430,5260,5430,650000,5430
"127",5435,5450,5305,5335,459000,5335
"128",5125,5195,5115,5170,1108000,5170
"129",5170,5270,5115,5210,692000,5210
"130",5295,5450,5260,5450,697000,5450
"131",5500,5610,5490,5580,746000,5580
"132",5595,5635,5510,5580,572000,5580
"133",5525,5530,5425,5425,453000,5425
"134",5380,5495,5380,5485,316000,5485
"135",5535,5600,5520,5600,318000,5600
"136",5600,5610,5495,5495,378000,5495
"137",5515,5600,5515,5520,342000,5520
"138",5520,5530,5420,5445,393000,5445
"139",5435,5510,5415,5510,301000,5510
"140",5545,5550,5500,5500,312000,5500
"141",5645,5810,5620,5765,690000,5765
"142",5750,5750,5655,5705,319000,5705
